DC_PRODUTO,TOKENS,TAGS
MADEIRA SERRADA DE JATOBA DO TIPO SARRAFO - HYMENAEA COURBARIL L.,"['MADEIRA', 'SERRADA', 'DE', 'JATOBA', 'DO', 'TIPO', 'SARRAFO', '-', 'HYMENAEA', 'COURBARIL', 'L.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA TIPO SARRAFOS DA ESPÉCIE ANGELIM-VERMELHO - FSC 100% IMA-COC-160121,"['MADEIRA', 'SERRADA', 'TIPO', 'SARRAFOS', 'DA', 'ESPÉCIE', 'ANGELIM-VERMELHO', '-', 'FSC', '100%', 'IMA-COC-160121']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LOURO PRODUTOS DO SERIDO 05G PCT. C/20 UND.,"['LOURO', 'PRODUTOS', 'DO', 'SERIDO', '05G', 'PCT.', 'C/20', 'UND.']","[0, 0, 0, 0, 0, 0, 0, 0]"
CAIBRO 4.00 MT,"['CAIBRO', '4.00', 'MT']","[0, 0, 0]"
"LINHA 5X18 DE ANGELIM C/ 2,0 M","['LINHA', '5X18', 'DE', 'ANGELIM', 'C/', '2,0', 'M']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA TÁBUA DE ANDIROBA,"['MADEIRA', 'SERRADA', 'TÁBUA', 'DE', 'ANDIROBA']","[0, 0, 0, 0, 0]"
"(P) VIGA NAO APARELHADA *6X16* CM, EM MACARANDUBA-PADRAO","['(P)', 'VIGA', 'NAO', 'APARELHADA', '*6X16*', 'CM,', 'EM', 'MACARANDUBA-PADRAO']","[0, 0, 0, 0, 0, 0, 0, 0]"
TIMBORANA SERRADA SARRAFOS,"['TIMBORANA', 'SERRADA', 'SARRAFOS']","[0, 0, 0]"
MADEIRA SERRADA EM RIPAS DE JATOBA,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DE', 'JATOBA']","[0, 0, 0, 0, 0, 0]"
PRODUTO ACABADO EM PORTAS DE CALHAS DA ESPECIE TAXI,"['PRODUTO', 'ACABADO', 'EM', 'PORTAS', 'DE', 'CALHAS', 'DA', 'ESPECIE', 'TAXI']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO DA ESPECIE - ACAPURANA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'DA', 'ESPECIE', '-', 'ACAPURANA']","[0, 0, 0, 0, 0, 0, 0]"
PORTA LAMBRIL ESTREITO 80X210 JATOBA,"['PORTA', 'LAMBRIL', 'ESTREITO', '80X210', 'JATOBA']","[0, 0, 0, 0, 0]"
"CAIBRO 2,00M(3X5)(0,0030M3)","['CAIBRO', '2,00M(3X5)(0,0030M3)']","[0, 0]"
MADEIRA SERRADA VIGA DA ESPECIE DE MACARANDUBA - MANILKARA HUBERI (DUCKE) CHEVALIER,"['MADEIRA', 'SERRADA', 'VIGA', 'DA', 'ESPECIE', 'DE', 'MACARANDUBA', '-', 'MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA DA ESPECIE LOURO-VERMELHO TIPO TABUA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'LOURO-VERMELHO', 'TIPO', 'TABUA']","[0, 0, 0, 0, 0, 0, 0]"
BARROTE C/ 5.0MT - MISTO,"['BARROTE', 'C/', '5.0MT', '-', 'MISTO']","[0, 0, 0, 0, 0]"
DECK IPE,"['DECK', 'IPE']","[0, 0]"
MANILKARA PARAENSIS (HUBER) STANDL.- MAPARAJUBA- 64- SARRAFOS,"['MANILKARA', 'PARAENSIS', '(HUBER)', 'STANDL.-', 'MAPARAJUBA-', '64-', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]"
HYMENOLOBIUM PETRAEUM DUCKE- ANGELIM-PEDRA - 24 - PRANCHA,"['HYMENOLOBIUM', 'PETRAEUM', 'DUCKE-', 'ANGELIM-PEDRA', '-', '24', '-', 'PRANCHA']","[0, 0, 0, 0, 0, 0, 0, 0]"
ESQUADRIA TABICAO CX DUPLA JATOBA M2 1,"['ESQUADRIA', 'TABICAO', 'CX', 'DUPLA', 'JATOBA', 'M2', '1']","[0, 0, 0, 0, 0, 0, 0]"
MACARANDUBA MADEIRA SERR EM TABUA,"['MACARANDUBA', 'MADEIRA', 'SERR', 'EM', 'TABUA']","[0, 0, 0, 0, 0]"
"CAIBRO MACARANDUBA 2,5METROS","['CAIBRO', 'MACARANDUBA', '2,5METROS']","[0, 0, 0]"
"LINHA ANGELIM 5X18 5,0 MT","['LINHA', 'ANGELIM', '5X18', '5,0', 'MT']","[0, 0, 0, 0, 0]"
TANIBUCA SERRADA - VIGOTA,"['TANIBUCA', 'SERRADA', '-', 'VIGOTA']","[0, 0, 0, 0]"
MADEIRA SERRADA VIGOTA JATOBA,"['MADEIRA', 'SERRADA', 'VIGOTA', 'JATOBA']","[0, 0, 0, 0]"
CUMARU SERRADO MAD.IND.DE RESIDUO RIPA,"['CUMARU', 'SERRADO', 'MAD.IND.DE', 'RESIDUO', 'RIPA']","[0, 0, 0, 0, 0]"
PEQUIA SERRADO EM CAIBROS,"['PEQUIA', 'SERRADO', 'EM', 'CAIBROS']","[0, 0, 0, 0]"
MADEIRA SERRADA EM TÁBUA/TAIPÁ NA ESPECIE MUIRACOATIARA,"['MADEIRA', 'SERRADA', 'EM', 'TÁBUA/TAIPÁ', 'NA', 'ESPECIE', 'MUIRACOATIARA']","[0, 0, 0, 0, 0, 0, 0]"
MAPARAJUBA SERRADA VIGA,"['MAPARAJUBA', 'SERRADA', 'VIGA']","[0, 0, 0]"
PRANCHA ANDIROBA,"['PRANCHA', 'ANDIROBA']","[0, 0]"
MADEIRA SERRADA EM RIPAS DE BREU,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DE', 'BREU']","[0, 0, 0, 0, 0, 0]"
"(02541) CAIBRO MACARANDUBA 3,5 ()","['(02541)', 'CAIBRO', 'MACARANDUBA', '3,5', '()']","[0, 0, 0, 0, 0]"
"LINHA MASSA 5,0X10 6,0MT","['LINHA', 'MASSA', '5,0X10', '6,0MT']","[0, 0, 0, 0]"
MADEIRA SERRADA - QUADRADO - ANGELIM-FERRO,"['MADEIRA', 'SERRADA', '-', 'QUADRADO', '-', 'ANGELIM-FERRO']","[0, 0, 0, 0, 0, 0]"
JANELA 1.00X1.00 LAMBRIM LOURO CANELA,"['JANELA', '1.00X1.00', 'LAMBRIM', 'LOURO', 'CANELA']","[0, 0, 0, 0, 0]"
TABUA / PRANCHA  ANDIROBA,"['TABUA', '/', 'PRANCHA', 'ANDIROBA']","[0, 0, 0, 0]"
"PRANCHAO DE MADEIRA  4,0CM X 30CM X 2,75M","['PRANCHAO', 'DE', 'MADEIRA', '4,0CM', 'X', '30CM', 'X', '2,75M']","[0, 0, 0, 0, 0, 0, 0, 0]"
TIMBORANA SERRADO EM SARRAFO,"['TIMBORANA', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
MARACATIARA SERRADA TABUA,"['MARACATIARA', 'SERRADA', 'TABUA']","[0, 0, 0]"
"CAIXA DE PORTA MANT. 0,70X2,10","['CAIXA', 'DE', 'PORTA', 'MANT.', '0,70X2,10']","[0, 0, 0, 0, 0]"
"PORTA TIMB. LAMBRI 0,70 X 2,10","['PORTA', 'TIMB.', 'LAMBRI', '0,70', 'X', '2,10']","[0, 0, 0, 0, 0, 0]"
MELANCIEIRA MADEIRA SERRADA EM TABUA ( TAIPA ),"['MELANCIEIRA', 'MADEIRA', 'SERRADA', 'EM', 'TABUA', '(', 'TAIPA', ')']","[0, 0, 0, 0, 0, 0, 0, 0]"
"CAIXA DE PORTA 0,60X2,10 JATOBA","['CAIXA', 'DE', 'PORTA', '0,60X2,10', 'JATOBA']","[0, 0, 0, 0, 0]"
MAD. SERRADA TABUA (TAIPA)- TIMBORANA,"['MAD.', 'SERRADA', 'TABUA', '(TAIPA)-', 'TIMBORANA']","[0, 0, 0, 0, 0]"
"MADEIRA DE PINUS SARRAFO 0,25 X 0,50 X 2,70/3.00 MT","['MADEIRA', 'DE', 'PINUS', 'SARRAFO', '0,25', 'X', '0,50', 'X', '2,70/3.00', 'MT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MANILKARA HUBERI (DUCKE) CHEVALIER - MAÇARANDUBA-24-VIGA,"['MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER', '-', 'MAÇARANDUBA-24-VIGA']","[0, 0, 0, 0, 0, 0]"
"BARROTE MACARAND 5 X 5,5","['BARROTE', 'MACARAND', '5', 'X', '5,5']","[0, 0, 0, 0, 0]"
CX DE PORTA ANGELIM PEDRA DESMONTADA,"['CX', 'DE', 'PORTA', 'ANGELIM', 'PEDRA', 'DESMONTADA']","[0, 0, 0, 0, 0, 0]"
RIPA MISTA ANANI-DA-TERRA-FIRME SERRADO,"['RIPA', 'MISTA', 'ANANI-DA-TERRA-FIRME', 'SERRADO']","[0, 0, 0, 0]"
"LINHA PEROBA ROSA 5X18 4,5M","['LINHA', 'PEROBA', 'ROSA', '5X18', '4,5M']","[0, 0, 0, 0, 0]"
UXIRANA SERRADA EM VIGAS,"['UXIRANA', 'SERRADA', 'EM', 'VIGAS']","[0, 0, 0, 0]"
LINHA 5X13 ANGELIM 2.0MT,"['LINHA', '5X13', 'ANGELIM', '2.0MT']","[0, 0, 0, 0]"
CAIBRO 5X3 GUAJARA 4.50MT,"['CAIBRO', '5X3', 'GUAJARA', '4.50MT']","[0, 0, 0, 0]"
LINHA MISTA 3 8 - MT,"['LINHA', 'MISTA', '3', '8', '-', 'MT']","[0, 0, 0, 0, 0, 0]"
MACARANDUBA MADEIRA EM RIPA,"['MACARANDUBA', 'MADEIRA', 'EM', 'RIPA']","[0, 0, 0, 0]"
GUAJARA MAD.INS. DE RESIDUO CAIBRINHO,"['GUAJARA', 'MAD.INS.', 'DE', 'RESIDUO', 'CAIBRINHO']","[0, 0, 0, 0, 0]"
"JANELA DE VIDRO 0,80X0,80","['JANELA', 'DE', 'VIDRO', '0,80X0,80']","[0, 0, 0, 0]"
MADEIRA SERRADA EM TÁBUAS/TAIPÁ NA ESPECIE ITAÚBA,"['MADEIRA', 'SERRADA', 'EM', 'TÁBUAS/TAIPÁ', 'NA', 'ESPECIE', 'ITAÚBA']","[0, 0, 0, 0, 0, 0, 0]"
JANELA 1 00X1 20CX DUPLA ANDIROBA,"['JANELA', '1', '00X1', '20CX', 'DUPLA', 'ANDIROBA']","[0, 0, 0, 0, 0, 0]"
HYMENAEA COURBARIL L. JATOBÁ- 27- TÁBUA (TAIPA),"['HYMENAEA', 'COURBARIL', 'L.', 'JATOBÁ-', '27-', 'TÁBUA', '(TAIPA)']","[0, 0, 0, 0, 0, 0, 0]"
TIMBORANA SERRADA EM CAIBRO,"['TIMBORANA', 'SERRADA', 'EM', 'CAIBRO']","[0, 0, 0, 0]"
PRODUTO ACABADO - PORTAS DE CALHA - DA ESPECIE PEQUIRANA,"['PRODUTO', 'ACABADO', '-', 'PORTAS', 'DE', 'CALHA', '-', 'DA', 'ESPECIE', 'PEQUIRANA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA DA ESPECIE - CASCA SECA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESPECIE', '-', 'CASCA', 'SECA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
IPE SERRADO EM SARRAFO,"['IPE', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
CAIBRO SERRADO MST CASCA SECA,"['CAIBRO', 'SERRADO', 'MST', 'CASCA', 'SECA']","[0, 0, 0, 0, 0]"
TABUA MIX 14CM,"['TABUA', 'MIX', '14CM']","[0, 0, 0]"
MADEIRITO 10,"['MADEIRITO', '10']","[0, 0]"
"CAIBRO MISTO 6CM 4,5CM 3M","['CAIBRO', 'MISTO', '6CM', '4,5CM', '3M']","[0, 0, 0, 0, 0]"
PRODUTO ACABADO DE MADEIRA BENEFICIADA DA ESPECIE POPULAR BREU EM PORTAIS/ADUELAS,"['PRODUTO', 'ACABADO', 'DE', 'MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'BREU', 'EM', 'PORTAIS/ADUELAS']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
RESIDUO PARA APROVEITAMENTO INDUSTRIAL CAIBRO DE MACARANDUBA,"['RESIDUO', 'PARA', 'APROVEITAMENTO', 'INDUSTRIAL', 'CAIBRO', 'DE', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0]"
"MOURAO DE EUC. IMUNIZADO 3,0 14-16CM","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '3,0', '14-16CM']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA DA ESPECIE - MACARANDUBA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESPECIE', '-', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0]"
GUAJARA MADEIRA SERRADA TABUA,"['GUAJARA', 'MADEIRA', 'SERRADA', 'TABUA']","[0, 0, 0, 0]"
MESA DE MADEIRA CEDRO 100 X 80,"['MESA', 'DE', 'MADEIRA', 'CEDRO', '100', 'X', '80']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM RIPAS DA ESSENCIA - ANGELIM VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESSENCIA', '-', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA TIPO RIPAS DA ESPECIE ANGELIM,"['MADEIRA', 'SERRADA', 'TIPO', 'RIPAS', 'DA', 'ESPECIE', 'ANGELIM']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TABUAS DA ESSENCIA CANELAO (OCOTEA PUBERULA (RICH.) NEES),"['MADEIRA', 'SERRADA', 'EM', 'TABUAS', 'DA', 'ESSENCIA', 'CANELAO', '(OCOTEA', 'PUBERULA', '(RICH.)', 'NEES)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
JATOBA PRODUTO ACABADO - PORTAL/ADUELA,"['JATOBA', 'PRODUTO', 'ACABADO', '-', 'PORTAL/ADUELA']","[0, 0, 0, 0, 0]"
FRECHAL 5.4,"['FRECHAL', '5.4']","[0, 0]"
LINHA ANGELIM VER. 5 X 11 3.5,"['LINHA', 'ANGELIM', 'VER.', '5', 'X', '11', '3.5']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGOTA ESP ANGELIM VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'VIGOTA', 'ESP', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA MASS 7,5 X 12 - 2,50","['LINHA', 'MASS', '7,5', 'X', '12', '-', '2,50']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TÁBUAS NA ESPÉCIE ANDIROBA,"['MADEIRA', 'SERRADA', 'EM', 'TÁBUAS', 'NA', 'ESPÉCIE', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0]"
PORTA DIAGONAL 80X210MTTIMB POST ALMOF,"['PORTA', 'DIAGONAL', '80X210MTTIMB', 'POST', 'ALMOF']","[0, 0, 0, 0, 0]"
MESA DE JATOBA 6 CADEIRAS,"['MESA', 'DE', 'JATOBA', '6', 'CADEIRAS']","[0, 0, 0, 0, 0]"
MOURAO 12X12CM MASSARANDUBA,"['MOURAO', '12X12CM', 'MASSARANDUBA']","[0, 0, 0]"
CARYOCAR VILLOSUM (AUBL.) PERS. - PEQUIÁ- 27- TÁBUA (TAIPA),"['CARYOCAR', 'VILLOSUM', '(AUBL.)', 'PERS.', '-', 'PEQUIÁ-', '27-', 'TÁBUA', '(TAIPA)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"CAIBRO MASSA 3,0MT-MADEIRA","['CAIBRO', 'MASSA', '3,0MT-MADEIRA']","[0, 0, 0]"
MAD. SERRADA VIGA - JATOBA,"['MAD.', 'SERRADA', 'VIGA', '-', 'JATOBA']","[0, 0, 0, 0, 0]"
CAIXA 448 COSTURA LISA,"['CAIXA', '448', 'COSTURA', 'LISA']","[0, 0, 0, 0]"
BANDEJA MIGALHEIRO NFE: 48 DT: 26/03/2019,"['BANDEJA', 'MIGALHEIRO', 'NFE:', '48', 'DT:', '26/03/2019']","[0, 0, 0, 0, 0, 0]"
LOURO SERRADO EM PRANCHAS,"['LOURO', 'SERRADO', 'EM', 'PRANCHAS']","[0, 0, 0, 0]"
MADEIRA BENEFICIADA EM (PISOS E ASSOALHOS) DA ESSENCIA - FAVA,"['MADEIRA', 'BENEFICIADA', 'EM', '(PISOS', 'E', 'ASSOALHOS)', 'DA', 'ESSENCIA', '-', 'FAVA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"MADEIRITE PLASTIFICADO 1,10 X 2,20 11MM ( ATENCAO AVARIADOS)","['MADEIRITE', 'PLASTIFICADO', '1,10', 'X', '2,20', '11MM', '(', 'ATENCAO', 'AVARIADOS)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"SERRADO TIPO VIGA 13CM X 5CM X 2,5M","['SERRADO', 'TIPO', 'VIGA', '13CM', 'X', '5CM', 'X', '2,5M']","[0, 0, 0, 0, 0, 0, 0, 0]"
ANG VERMELHO SERRADO RIPAS,"['ANG', 'VERMELHO', 'SERRADO', 'RIPAS']","[0, 0, 0, 0]"
MADEIRA SERRADA VIGA DE BAJAO,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'BAJAO']","[0, 0, 0, 0, 0]"
LINHA DE MADEIRA 3 X 5,"['LINHA', 'DE', 'MADEIRA', '3', 'X', '5']","[0, 0, 0, 0, 0, 0]"
DECKIN COMERCIAL,"['DECKIN', 'COMERCIAL']","[0, 0]"
"MOURAO DE EUC. IMUNIZADO 9,0M 20CM","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '9,0M', '20CM']","[0, 0, 0, 0, 0, 0]"
ANGELIM VERMELHO SERRADO RIPAS,"['ANGELIM', 'VERMELHO', 'SERRADO', 'RIPAS']","[0, 0, 0, 0]"
"FRECHAL MASS 4,5 X 5CM - 5,50","['FRECHAL', 'MASS', '4,5', 'X', '5CM', '-', '5,50']","[0, 0, 0, 0, 0, 0, 0]"
LAJOTA,['LAJOTA'],[0]
MADEIRA SERRADA EM RIPAS DA ESSENCIA ANGELIM (HYMENOLOBIUM PETRAEUM DUCKE ),"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESSENCIA', 'ANGELIM', '(HYMENOLOBIUM', 'PETRAEUM', 'DUCKE', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CX PORTA DESMONTADA JATOBA,"['CX', 'PORTA', 'DESMONTADA', 'JATOBA']","[0, 0, 0, 0]"
MADEIRA DA ESPECIE ANGELIM-PEDRA (HYNEMOLOBIUM HETEROCARPUM DUCKE),"['MADEIRA', 'DA', 'ESPECIE', 'ANGELIM-PEDRA', '(HYNEMOLOBIUM', 'HETEROCARPUM', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0]"
JARAI MADEIRA SERRADA VIGA,"['JARAI', 'MADEIRA', 'SERRADA', 'VIGA']","[0, 0, 0, 0]"
QUARUBARANA SERR.PRANCHA(RUIZTERANIA ALBIFLORA MARCANO-BERTI),"['QUARUBARANA', 'SERR.PRANCHA(RUIZTERANIA', 'ALBIFLORA', 'MARCANO-BERTI)']","[0, 0, 0, 0]"
HYMENAEA COURBARIL L.- JATOBÁ- 27- TABUA,"['HYMENAEA', 'COURBARIL', 'L.-', 'JATOBÁ-', '27-', 'TABUA']","[0, 0, 0, 0, 0, 0]"
"CAIBRO MIXTO 1,5MT","['CAIBRO', 'MIXTO', '1,5MT']","[0, 0, 0]"
ANGELIM-VERMELHO SERRADO - VIGAS,"['ANGELIM-VERMELHO', 'SERRADO', '-', 'VIGAS']","[0, 0, 0, 0]"
ANGELIM VERMELHO SERRADO TIPO SARRAFO,"['ANGELIM', 'VERMELHO', 'SERRADO', 'TIPO', 'SARRAFO']","[0, 0, 0, 0, 0]"
QUARUBARANA SERRADA CAIBRO -CAIBRINHO,"['QUARUBARANA', 'SERRADA', 'CAIBRO', '-CAIBRINHO']","[0, 0, 0, 0]"
"LINHA MADEIRA 5X10CM X2,50M","['LINHA', 'MADEIRA', '5X10CM', 'X2,50M']","[0, 0, 0, 0]"
LINHA 6X15 MACARANDUBA,"['LINHA', '6X15', 'MACARANDUBA']","[0, 0, 0]"
ANGELIM - MADEIRA SERRADA EM SARRAFOS,"['ANGELIM', '-', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0]"
"GARAPEIRA 10,00 X 10,00 QUADRADO 1,50 MT","['GARAPEIRA', '10,00', 'X', '10,00', 'QUADRADO', '1,50', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA DA ESSENCIA SAPUCARANA ( TAPIRIRA GUIANENSIS AUBL.),"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESSENCIA', 'SAPUCARANA', '(', 'TAPIRIRA', 'GUIANENSIS', 'AUBL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PRODUTO ACABADO EM PORTAIS DA ESPECIE ( HYMENAEA COURBARIL L.) JATOBA,"['PRODUTO', 'ACABADO', 'EM', 'PORTAIS', 'DA', 'ESPECIE', '(', 'HYMENAEA', 'COURBARIL', 'L.)', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LINHA ANGELIM 3/8 22 METROS,"['LINHA', 'ANGELIM', '3/8', '22', 'METROS']","[0, 0, 0, 0, 0]"
RIPA MISTA MAPARAJUBA SERRADA,"['RIPA', 'MISTA', 'MAPARAJUBA', 'SERRADA']","[0, 0, 0, 0]"
TAXI SERRADO TABUAS,"['TAXI', 'SERRADO', 'TABUAS']","[0, 0, 0]"
"TABUA TACHI 3,5X13CM","['TABUA', 'TACHI', '3,5X13CM']","[0, 0, 0]"
LINHA 5X12CM MASSAR,"['LINHA', '5X12CM', 'MASSAR']","[0, 0, 0]"
MADEIRA SER. VIGOTA JATOBA ( HYMENAEA COURBARIL. ),"['MADEIRA', 'SER.', 'VIGOTA', 'JATOBA', '(', 'HYMENAEA', 'COURBARIL.', ')']","[0, 0, 0, 0, 0, 0, 0, 0]"
TIMBORANA SERRADA EM TABUAS,"['TIMBORANA', 'SERRADA', 'EM', 'TABUAS']","[0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA DA ESPECIE QUARUBA-ROSA - VOCHYSIA SURINAMENSIS STAFLEU,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESPECIE', 'QUARUBA-ROSA', '-', 'VOCHYSIA', 'SURINAMENSIS', 'STAFLEU']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PEQUI (ESP. 6,5CM) LARG.  0,70CM - TABUADO","['PEQUI', '(ESP.', '6,5CM)', 'LARG.', '0,70CM', '-', 'TABUADO']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TABUA DA ESSENCIA JAT,"['MADEIRA', 'SERRADA', 'EM', 'TABUA', 'DA', 'ESSENCIA', 'JAT']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA LOURO (TABUA),"['MADEIRA', 'SERRADA', 'LOURO', '(TABUA)']","[0, 0, 0, 0]"
MADEIRA SERRADA  (TÁBUA)- DA ESPÉCIE - ANDIROBA,"['MADEIRA', 'SERRADA', '(TÁBUA)-', 'DA', 'ESPÉCIE', '-', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0]"
ROXINHO SERRADO EM 3.5CM,"['ROXINHO', 'SERRADO', 'EM', '3.5CM']","[0, 0, 0, 0]"
QUARUBATINGA MADEIRA SERRADA RIPA,"['QUARUBATINGA', 'MADEIRA', 'SERRADA', 'RIPA']","[0, 0, 0, 0]"
MADEIRAS SERRADA ANGELIM VERMELHO VIGA,"['MADEIRAS', 'SERRADA', 'ANGELIM', 'VERMELHO', 'VIGA']","[0, 0, 0, 0, 0]"
"CX DE PORTA 0,80X0,13CM MONTADA #","['CX', 'DE', 'PORTA', '0,80X0,13CM', 'MONTADA', '#']","[0, 0, 0, 0, 0, 0]"
LINHA JARANA 5 X 11 DE 6.50M,"['LINHA', 'JARANA', '5', 'X', '11', 'DE', '6.50M']","[0, 0, 0, 0, 0, 0, 0]"
RIPA MADEIRA,"['RIPA', 'MADEIRA']","[0, 0]"
ANGELIM-PEDRA SERRADO EM RIPAS,"['ANGELIM-PEDRA', 'SERRADO', 'EM', 'RIPAS']","[0, 0, 0, 0]"
MADEIRA SERRADA TIPO RIPAS DA ESPECIE MAÇARANDUBA,"['MADEIRA', 'SERRADA', 'TIPO', 'RIPAS', 'DA', 'ESPECIE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA (VIGA) / MANILKARA HUBERI - MAA AR,"['MADEIRA', 'SERRADA', '(VIGA)', '/', 'MANILKARA', 'HUBERI', '-', 'MAA', 'AR']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
LAMINA DE PORTA 2.10X0.60 UN 1,"['LAMINA', 'DE', 'PORTA', '2.10X0.60', 'UN', '1']","[0, 0, 0, 0, 0, 0]"
PRANCHA ANGELIM AMARGOSO,"['PRANCHA', 'ANGELIM', 'AMARGOSO']","[0, 0, 0]"
MANDIOQUEIRA PRETA SERR. VIGA,"['MANDIOQUEIRA', 'PRETA', 'SERR.', 'VIGA']","[0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO DE SUCUPIRA PRETA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'DE', 'SUCUPIRA', 'PRETA']","[0, 0, 0, 0, 0, 0]"
TANIBUCA SERRADA EM SARRAFO(CLASS.64) 508,"['TANIBUCA', 'SERRADA', 'EM', 'SARRAFO(CLASS.64)', '508']","[0, 0, 0, 0, 0]"
ANGELIM AMARGOSO - PISOS E ASSOALHOS,"['ANGELIM', 'AMARGOSO', '-', 'PISOS', 'E', 'ASSOALHOS']","[0, 0, 0, 0, 0, 0]"
"LINHA (5X9) 4,50MT ANGELIM","['LINHA', '(5X9)', '4,50MT', 'ANGELIM']","[0, 0, 0, 0]"
TRAVESSA DA CAMA 70X1390X20,"['TRAVESSA', 'DA', 'CAMA', '70X1390X20']","[0, 0, 0, 0]"
ANGELIM VERMELHO SARRAFO,"['ANGELIM', 'VERMELHO', 'SARRAFO']","[0, 0, 0]"
MADEIRA IND. DE RESIDUOS (CAIBRINHOS),"['MADEIRA', 'IND.', 'DE', 'RESIDUOS', '(CAIBRINHOS)']","[0, 0, 0, 0, 0]"
"LINHA CUPIUBA - 5 X 12 X 4,00 MT","['LINHA', 'CUPIUBA', '-', '5', 'X', '12', 'X', '4,00', 'MT']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
PRODUTO ACABADO EM PORTAIS SEM ALISARES DA ESSENCIA MACARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALLIER),"['PRODUTO', 'ACABADO', 'EM', 'PORTAIS', 'SEM', 'ALISARES', 'DA', 'ESSENCIA', 'MACARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALLIER)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
