DC_PRODUTO,TOKENS,TAGS,text
MADEIRA SERRADA (VIGA) HYMENAEA COURBARIL L. - JATOBÁ,"['MADEIRA', 'SERRADA', '(VIGA)', 'HYMENAEA', 'COURBARIL', 'L.', '-', 'JATOBÁ']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (viga) hymenaea courbaril l. - jatoba
"LINHA MASS 5 X 11 - 2,50","['LINHA', 'MASS', '5', 'X', '11', '-', '2,50']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 11 - 2,50"
CAIBRO 5X3 GUAJARA 2.00MT,"['CAIBRO', '5X3', 'GUAJARA', '2.00MT']","[0, 0, 0, 0]",caibro 5x3 guajara 2.00mt
RIPA ANGELIM VERMELHO 5 0M,"['RIPA', 'ANGELIM', 'VERMELHO', '5', '0M']","[0, 0, 0, 0, 0]",ripa angelim vermelho 5 0m
TABUA PEQUIA 2 2 X 15CM 4 5M,"['TABUA', 'PEQUIA', '2', '2', 'X', '15CM', '4', '5M']","[0, 0, 0, 0, 0, 0, 0, 0]",tabua pequia 2 2 x 15cm 4 5m
FRECHAL MISTO 5X4 2.0 MT,"['FRECHAL', 'MISTO', '5X4', '2.0', 'MT']","[0, 0, 0, 0, 0]",frechal misto 5x4 2.0 mt
LINHA ANGELIM VERMELHO 5X11 4 0M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X11', '4', '0M']","[0, 0, 0, 0, 0, 0]",linha angelim vermelho 5x11 4 0m
LINHA ANGELIM VERMELHO 5X13 4 0M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X13', '4', '0M']","[0, 0, 0, 0, 0, 0]",linha angelim vermelho 5x13 4 0m
CAIXA DE PORTA DE 12CM MASSARANDUBA,"['CAIXA', 'DE', 'PORTA', 'DE', '12CM', 'MASSARANDUBA']","[0, 0, 0, 0, 0, 0]",caixa de porta de 12cm massaranduba
TAXI - SERRADO EM TABUA,"['TAXI', '-', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0, 0]",taxi - serrado em tabua
"COMPENSADO 15MM 2,20X1,60M","['COMPENSADO', '15MM', '2,20X1,60M']","[0, 0, 0]","compensado 15mm 2,20x1,60m"
SAPUCAIA-MADEIRA SERRADA EM (VIGA),"['SAPUCAIA-MADEIRA', 'SERRADA', 'EM', '(VIGA)']","[0, 0, 0, 0]",sapucaia-madeira serrada em (viga)
MADEIRA SERRADA (TABUA) DA ESPECIE ANGELIM-PEDRA (HYMENOLOBIUM PETRAEUM DUCKE),"['MADEIRA', 'SERRADA', '(TABUA)', 'DA', 'ESPECIE', 'ANGELIM-PEDRA', '(HYMENOLOBIUM', 'PETRAEUM', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (tabua) da especie angelim-pedra (hymenolobium petraeum ducke)
LINHA ANGELIM VERMELHO 5X18 5 0M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X18', '5', '0M']","[0, 0, 0, 0, 0, 0]",linha angelim vermelho 5x18 5 0m
"CAIBRO MASSA 1,0MT*-MADEIRA","['CAIBRO', 'MASSA', '1,0MT*-MADEIRA']","[0, 0, 0]","caibro massa 1,0mt*-madeira"
"CAIBRO MISTO 5,5 METRO","['CAIBRO', 'MISTO', '5,5', 'METRO']","[0, 0, 0, 0]","caibro misto 5,5 metro"
LINHA ANGELIM VERMELHO 5X18 6 5M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X18', '6', '5M']","[0, 0, 0, 0, 0, 0]",linha angelim vermelho 5x18 6 5m
JUTAI SERRADO EM SARRAFO,"['JUTAI', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]",jutai serrado em sarrafo
TRAMA DE MADEIRA COMPOSTA POR RIPAS CAIBROS E TERCAS PARA TE,"['TRAMA', 'DE', 'MADEIRA', 'COMPOSTA', 'POR', 'RIPAS', 'CAIBROS', 'E', 'TERCAS', 'PARA', 'TE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",trama de madeira composta por ripas caibros e tercas para te
LINHA ANGELIM AMARGOSO 5X11 3 0M,"['LINHA', 'ANGELIM', 'AMARGOSO', '5X11', '3', '0M']","[0, 0, 0, 0, 0, 0]",linha angelim amargoso 5x11 3 0m
"PORTA TIMB. LAMB. 2,10 X 0,80 C/JL. LAMB","['PORTA', 'TIMB.', 'LAMB.', '2,10', 'X', '0,80', 'C/JL.', 'LAMB']","[0, 0, 0, 0, 0, 0, 0, 0]","porta timb. lamb. 2,10 x 0,80 c/jl. lamb"
"PIQUIA 3,5","['PIQUIA', '3,5']","[0, 0]","piquia 3,5"
MADEIRA DA ESPECIE TAUARI SERRADO EM TABUA,"['MADEIRA', 'DA', 'ESPECIE', 'TAUARI', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0, 0, 0, 0]",madeira da especie tauari serrado em tabua
RESIDUO PARA APROVEITAMENTO INDUSTRIAL TÁBUA-CURTA DE TIMBORANA,"['RESIDUO', 'PARA', 'APROVEITAMENTO', 'INDUSTRIAL', 'TÁBUA-CURTA', 'DE', 'TIMBORANA']","[0, 0, 0, 0, 0, 0, 0]",residuo para aproveitamento industrial tabua-curta de timborana
"RIPA, MASSARANDUBA 5CM X 1,5CM","['RIPA,', 'MASSARANDUBA', '5CM', 'X', '1,5CM']","[0, 0, 0, 0, 0]","ripa, massaranduba 5cm x 1,5cm"
PRODUTO ACABADO MATAMATA EM (ADUELAS/PORTAIS),"['PRODUTO', 'ACABADO', 'MATAMATA', 'EM', '(ADUELAS/PORTAIS)']","[0, 0, 0, 0, 0]",produto acabado matamata em (aduelas/portais)
MADEIRA SERRADA EM VIGA DE CASCA SECA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DE', 'CASCA', 'SECA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada em viga de casca seca
CUPIUBA SERRADA EM SARRAFOS,"['CUPIUBA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0]",cupiuba serrada em sarrafos
JATOBA-MADEIRA BENEFICIADA EM PORTAIS/ADUELAS,"['JATOBA-MADEIRA', 'BENEFICIADA', 'EM', 'PORTAIS/ADUELAS']","[0, 0, 0, 0]",jatoba-madeira beneficiada em portais/aduelas
MACARANDUBA SERRADO EM BARROTE,"['MACARANDUBA', 'SERRADO', 'EM', 'BARROTE']","[0, 0, 0, 0]",macaranduba serrado em barrote
"CX DE PORTA MAND 0,70X2,10X0,13","['CX', 'DE', 'PORTA', 'MAND', '0,70X2,10X0,13']","[0, 0, 0, 0, 0]","cx de porta mand 0,70x2,10x0,13"
MACARANDUBA MADEIRA SERR EM PRANCHA,"['MACARANDUBA', 'MADEIRA', 'SERR', 'EM', 'PRANCHA']","[0, 0, 0, 0, 0]",macaranduba madeira serr em prancha
TABUA PINUS 3.00X30CM,"['TABUA', 'PINUS', '3.00X30CM']","[0, 0, 0]",tabua pinus 3.00x30cm
"PORTA DE FICHA MISTA 80 X 2,10 EXTRA","['PORTA', 'DE', 'FICHA', 'MISTA', '80', 'X', '2,10', 'EXTRA']","[0, 0, 0, 0, 0, 0, 0, 0]","porta de ficha mista 80 x 2,10 extra"
ANGELIM-AMARGOSO- MADEIRA SERRADA (TABUA),"['ANGELIM-AMARGOSO-', 'MADEIRA', 'SERRADA', '(TABUA)']","[0, 0, 0, 0]",angelim-amargoso- madeira serrada (tabua)
CASCA DE PINUS ORNAMENTAL 25 KG,"['CASCA', 'DE', 'PINUS', 'ORNAMENTAL', '25', 'KG']","[0, 0, 0, 0, 0, 0]",casca de pinus ornamental 25 kg
MADEIRA SERRADA VIGA DE TAUARI,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'TAUARI']","[0, 0, 0, 0, 0]",madeira serrada viga de tauari
OITICICA SERRADA TIPO CAIBRO 3 X5 CAIBRINHOS,"['OITICICA', 'SERRADA', 'TIPO', 'CAIBRO', '3', 'X5', 'CAIBRINHOS']","[0, 0, 0, 0, 0, 0, 0]",oiticica serrada tipo caibro 3 x5 caibrinhos
MADEIRA SERRADA VIGA DE AZEDINHO,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'AZEDINHO']","[0, 0, 0, 0, 0]",madeira serrada viga de azedinho
"TABUA - ANGELIM-PEDRA (HYMENOLOBIUM PETRAEUM) BRUTO, NORMAL, FAS, AD, MADEIRA SERRADA","['TABUA', '-', 'ANGELIM-PEDRA', '(HYMENOLOBIUM', 'PETRAEUM)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', 'MADEIRA', 'SERRADA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tabua - angelim-pedra (hymenolobium petraeum) bruto, normal, fas, ad, madeira serrada"
MUIRACATIARA SERRADA PRANCHAO,"['MUIRACATIARA', 'SERRADA', 'PRANCHAO']","[0, 0, 0]",muiracatiara serrada pranchao
TIRIBA MADEIRA SERRADA EM VIGOTA,"['TIRIBA', 'MADEIRA', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0]",tiriba madeira serrada em vigota
QUARUBARANA MADEIRA SERRADA EM SARRAFOS,"['QUARUBARANA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0]",quarubarana madeira serrada em sarrafos
TABUA DE CARNE RUSTICA PARA CHURRASCO,"['TABUA', 'DE', 'CARNE', 'RUSTICA', 'PARA', 'CHURRASCO']","[0, 0, 0, 0, 0, 0]",tabua de carne rustica para churrasco
"LINHA CUPIUBA - 5 X 12 X 7,00 MT","['LINHA', 'CUPIUBA', '-', '5', 'X', '12', 'X', '7,00', 'MT']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","linha cupiuba - 5 x 12 x 7,00 mt"
"LINHA MIX 3X8 5,5MT","['LINHA', 'MIX', '3X8', '5,5MT']","[0, 0, 0, 0]","linha mix 3x8 5,5mt"
MAPARAJUBA CAIBRO,"['MAPARAJUBA', 'CAIBRO']","[0, 0]",maparajuba caibro
MADEIRA SERRADA VIGA DE NAGELIM-VERMELHO,"['MADEIRA', 'SERRADA', 'VIGA', 'DE', 'NAGELIM-VERMELHO']","[0, 0, 0, 0, 0]",madeira serrada viga de nagelim-vermelho
ANGELIM VERMELHO MAD. SERRADA EM VIGAS,"['ANGELIM', 'VERMELHO', 'MAD.', 'SERRADA', 'EM', 'VIGAS']","[0, 0, 0, 0, 0, 0]",angelim vermelho mad. serrada em vigas
MADEIRA SERRADA DA ESPECIE ANDIROBA TIPO CAIBRO,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'ANDIROBA', 'TIPO', 'CAIBRO']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie andiroba tipo caibro
"PORTA DE ANDIROBA 1,20X2,10","['PORTA', 'DE', 'ANDIROBA', '1,20X2,10']","[0, 0, 0, 0]","porta de andiroba 1,20x2,10"
JANELAO GUAJARA 1.20X80,"['JANELAO', 'GUAJARA', '1.20X80']","[0, 0, 0]",janelao guajara 1.20x80
LINHA ANGELIM 5X18 2MT,"['LINHA', 'ANGELIM', '5X18', '2MT']","[0, 0, 0, 0]",linha angelim 5x18 2mt
"FRECHAL ANGELIM 5X5 7,5MT","['FRECHAL', 'ANGELIM', '5X5', '7,5MT']","[0, 0, 0, 0]","frechal angelim 5x5 7,5mt"
MADEIRA BENEFICIADA DA ESPECIE POPULAR BREU EM PORTAIS/ADUELAS,"['MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'BREU', 'EM', 'PORTAIS/ADUELAS']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada da especie popular breu em portais/aduelas
MADEIRA BENEFICIADA DA ESPECIE POPULAR AMAPA EM PORTAIS/ADUELAS,"['MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'AMAPA', 'EM', 'PORTAIS/ADUELAS']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada da especie popular amapa em portais/aduelas
28 - PEQUIARANA SERRADA VIGA,"['28', '-', 'PEQUIARANA', 'SERRADA', 'VIGA']","[0, 0, 0, 0, 0]",28 - pequiarana serrada viga
COMINHO EM PO 100G POTIGUAR*,"['COMINHO', 'EM', 'PO', '100G', 'POTIGUAR*']","[0, 0, 0, 0, 0]",cominho em po 100g potiguar*
"LINHA ANGELIM 5X28 7,00MT","['LINHA', 'ANGELIM', '5X28', '7,00MT']","[0, 0, 0, 0]","linha angelim 5x28 7,00mt"
"CX DE PORTA CUPIUBA 0,60X2,10X0,13","['CX', 'DE', 'PORTA', 'CUPIUBA', '0,60X2,10X0,13']","[0, 0, 0, 0, 0]","cx de porta cupiuba 0,60x2,10x0,13"
TIMBORANA SERR. SARRAFOS,"['TIMBORANA', 'SERR.', 'SARRAFOS']","[0, 0, 0]",timborana serr. sarrafos
64 - MELANCIEIRA MADEIRA SERRADA EM SARRAFOS,"['64', '-', 'MELANCIEIRA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]",64 - melancieira madeira serrada em sarrafos
VERMICULITA,['VERMICULITA'],[0],vermiculita
"CAIBRO DE 3,5 METROS","['CAIBRO', 'DE', '3,5', 'METROS']","[0, 0, 0, 0]","caibro de 3,5 metros"
CAIXA DE PORTA CUPIABA DESMONT,"['CAIXA', 'DE', 'PORTA', 'CUPIABA', 'DESMONT']","[0, 0, 0, 0, 0]",caixa de porta cupiaba desmont
"PINUS - ARREMATE - 1 X 4,5 CM","['PINUS', '-', 'ARREMATE', '-', '1', 'X', '4,5', 'CM']","[0, 0, 0, 0, 0, 0, 0, 0]","pinus - arremate - 1 x 4,5 cm"
"SARRAFO - CUPIUBA (GOUPIA GLABRA) BRUTO, NORMAL, FAS, AD, MADEIRA SERRADA","['SARRAFO', '-', 'CUPIUBA', '(GOUPIA', 'GLABRA)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', 'MADEIRA', 'SERRADA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","sarrafo - cupiuba (goupia glabra) bruto, normal, fas, ad, madeira serrada"
IPE SERRADO(VIGA),"['IPE', 'SERRADO(VIGA)']","[0, 0]",ipe serrado(viga)
FERRAGENS DOBRADICAS CROMADAS PARA PORTA DO BOX,"['FERRAGENS', 'DOBRADICAS', 'CROMADAS', 'PARA', 'PORTA', 'DO', 'BOX']","[0, 0, 0, 0, 0, 0, 0]",ferragens dobradicas cromadas para porta do box
"MAD.SERRADA SARRAFO 3CMX5CMX7,5M MISTA","['MAD.SERRADA', 'SARRAFO', '3CMX5CMX7,5M', 'MISTA']","[0, 0, 0, 0]","mad.serrada sarrafo 3cmx5cmx7,5m mista"
MADEIRA SERRADA (TABUA) / COPAIFERA LANGSDORFFII - COPAIBA,"['MADEIRA', 'SERRADA', '(TABUA)', '/', 'COPAIFERA', 'LANGSDORFFII', '-', 'COPAIBA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (tabua) / copaifera langsdorffii - copaiba
"COLUNA 15X15 ANG. VERMELHO 4,00M","['COLUNA', '15X15', 'ANG.', 'VERMELHO', '4,00M']","[0, 0, 0, 0, 0]","coluna 15x15 ang. vermelho 4,00m"
VIRGA DE 3.20,"['VIRGA', 'DE', '3.20']","[0, 0, 0]",virga de 3.20
TABUA P CONSTRUCAO 25CM MISTA,"['TABUA', 'P', 'CONSTRUCAO', '25CM', 'MISTA']","[0, 0, 0, 0, 0]",tabua p construcao 25cm mista
SAPUCAIA MADEIRA SERR EM TABUA,"['SAPUCAIA', 'MADEIRA', 'SERR', 'EM', 'TABUA']","[0, 0, 0, 0, 0]",sapucaia madeira serr em tabua
64 - GARAPA MADEIRA SERRADA EM SARRAFOS,"['64', '-', 'GARAPA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]",64 - garapa madeira serrada em sarrafos
"LINHA MACARANDUBA 3X5 - 12X5,50CM","['LINHA', 'MACARANDUBA', '3X5', '-', '12X5,50CM']","[0, 0, 0, 0, 0]","linha macaranduba 3x5 - 12x5,50cm"
"CAIBRO MADEIRA CUMARU AMARELO 6,00 MT","['CAIBRO', 'MADEIRA', 'CUMARU', 'AMARELO', '6,00', 'MT']","[0, 0, 0, 0, 0, 0]","caibro madeira cumaru amarelo 6,00 mt"
CASCA DE PINUS PREMIUM 5KG,"['CASCA', 'DE', 'PINUS', 'PREMIUM', '5KG']","[0, 0, 0, 0, 0]",casca de pinus premium 5kg
CX DE PORTA 70CM 13CM - JATOBA,"['CX', 'DE', 'PORTA', '70CM', '13CM', '-', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0]",cx de porta 70cm 13cm - jatoba
"TIMBORANA PRANCHA 7,5 CM","['TIMBORANA', 'PRANCHA', '7,5', 'CM']","[0, 0, 0, 0]","timborana prancha 7,5 cm"
28- GUARIUBA MADEIRA SERRADA EM VIGA,"['28-', 'GUARIUBA', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0]",28- guariuba madeira serrada em viga
TIMBORAMA SERRADO PRANCHAO DESDOBRADO,"['TIMBORAMA', 'SERRADO', 'PRANCHAO', 'DESDOBRADO']","[0, 0, 0, 0]",timborama serrado pranchao desdobrado
MADEIRA SERRADA MACARANDUBA VIGA,"['MADEIRA', 'SERRADA', 'MACARANDUBA', 'VIGA']","[0, 0, 0, 0]",madeira serrada macaranduba viga
LINHA 5X13 POLEGADAS MARCA: MADEVAX MADEIRAS,"['LINHA', '5X13', 'POLEGADAS', 'MARCA:', 'MADEVAX', 'MADEIRAS']","[0, 0, 0, 0, 0, 0]",linha 5x13 polegadas marca: madevax madeiras
LOURO SERRADA EM SARRAFO,"['LOURO', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0]",louro serrada em sarrafo
GUAJARA - MADEIRA INDUSTRILIZADA DE RESIDUO(RIPA),"['GUAJARA', '-', 'MADEIRA', 'INDUSTRILIZADA', 'DE', 'RESIDUO(RIPA)']","[0, 0, 0, 0, 0, 0]",guajara - madeira industrilizada de residuo(ripa)
J A T O B A  M A D E I R A  I N D U S T R I L I Z A D A D E RESIDUO(SHORT OU SARRAFO),"['J', 'A', 'T', 'O', 'B', 'A', 'M', 'A', 'D', 'E', 'I', 'R', 'A', 'I', 'N', 'D', 'U', 'S', 'T', 'R', 'I', 'L', 'I', 'Z', 'A', 'D', 'A', 'D', 'E', 'RESIDUO(SHORT', 'OU', 'SARRAFO)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",j a t o b a  m a d e i r a  i n d u s t r i l i z a d a d e residuo(short ou sarrafo)
BARROTE DE MADEIRA MISTA DE 5M X5X7,"['BARROTE', 'DE', 'MADEIRA', 'MISTA', 'DE', '5M', 'X5X7']","[0, 0, 0, 0, 0, 0, 0]",barrote de madeira mista de 5m x5x7
"RIPA MASS 1,2 X 5CM - COM 5,50","['RIPA', 'MASS', '1,2', 'X', '5CM', '-', 'COM', '5,50']","[0, 0, 0, 0, 0, 0, 0, 0]","ripa mass 1,2 x 5cm - com 5,50"
MADEIRA SERRADA CAIBRO FAVA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'FAVA']","[0, 0, 0, 0]",madeira serrada caibro fava
"CAIBRO 3 X 5 MASSARANDUBA COM 5,5M","['CAIBRO', '3', 'X', '5', 'MASSARANDUBA', 'COM', '5,5M']","[0, 0, 0, 0, 0, 0, 0]","caibro 3 x 5 massaranduba com 5,5m"
ANGELIM VERMELHO MADEIRA INDUSTRIALIZADA DE RESIDUO RIPAS,"['ANGELIM', 'VERMELHO', 'MADEIRA', 'INDUSTRIALIZADA', 'DE', 'RESIDUO', 'RIPAS']","[0, 0, 0, 0, 0, 0, 0]",angelim vermelho madeira industrializada de residuo ripas
MADEIRA SERRADA DA ESPECIE MACARANDUBA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'MACARANDUBA']","[0, 0, 0, 0, 0]",madeira serrada da especie macaranduba
TAXI-PRETO MAD INDUST DE RESIDUO CAIBRINHO,"['TAXI-PRETO', 'MAD', 'INDUST', 'DE', 'RESIDUO', 'CAIBRINHO']","[0, 0, 0, 0, 0, 0]",taxi-preto mad indust de residuo caibrinho
CARAPA GUIANENSIS  AUBL. - ANDIROBA - 27 - TABUA,"['CARAPA', 'GUIANENSIS', 'AUBL.', '-', 'ANDIROBA', '-', '27', '-', 'TABUA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",carapa guianensis  aubl. - andiroba - 27 - tabua
"PORTA DE PINUS 0,60X2,10CM","['PORTA', 'DE', 'PINUS', '0,60X2,10CM']","[0, 0, 0, 0]","porta de pinus 0,60x2,10cm"
MADS DE CANELAO SERRADAS EM SARRAFOS,"['MADS', 'DE', 'CANELAO', 'SERRADAS', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0]",mads de canelao serradas em sarrafos
"VIGA,RIPA,CAIB. ANGELIM-AMARGOSO","['VIGA,RIPA,CAIB.', 'ANGELIM-AMARGOSO']","[0, 0]","viga,ripa,caib. angelim-amargoso"
CAIBRO JATOBA 3.00 M,"['CAIBRO', 'JATOBA', '3.00', 'M']","[0, 0, 0, 0]",caibro jatoba 3.00 m
"MADEIRITE 15MM 2,20X1,10M RESINADO","['MADEIRITE', '15MM', '2,20X1,10M', 'RESINADO']","[0, 0, 0, 0]","madeirite 15mm 2,20x1,10m resinado"
SERRADO TIPO VIGA 11CM X 5CM X 9M,"['SERRADO', 'TIPO', 'VIGA', '11CM', 'X', '5CM', 'X', '9M']","[0, 0, 0, 0, 0, 0, 0, 0]",serrado tipo viga 11cm x 5cm x 9m
CAIXA MASSARANDUBA 70,"['CAIXA', 'MASSARANDUBA', '70']","[0, 0, 0]",caixa massaranduba 70
CUMARU SERRADO VIGOTA,"['CUMARU', 'SERRADO', 'VIGOTA']","[0, 0, 0]",cumaru serrado vigota
MADEIRA SERRADA,"['MADEIRA', 'SERRADA']","[0, 0]",madeira serrada
CASCA-SECA SERRADO EM CAIBRO CURTO,"['CASCA-SECA', 'SERRADO', 'EM', 'CAIBRO', 'CURTO']","[0, 0, 0, 0, 0]",casca-seca serrado em caibro curto
MADEIRA MIXTA SERRADA EM BARROTES,"['MADEIRA', 'MIXTA', 'SERRADA', 'EM', 'BARROTES']","[0, 0, 0, 0, 0]",madeira mixta serrada em barrotes
MADEIRA DA ESPECIE IPE SERRADA EM SARRAFOS,"['MADEIRA', 'DA', 'ESPECIE', 'IPE', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]",madeira da especie ipe serrada em sarrafos
CAIXA CXV0157 CHA VAZ. C/ CHALEIRA,"['CAIXA', 'CXV0157', 'CHA', 'VAZ.', 'C/', 'CHALEIRA']","[0, 0, 0, 0, 0, 0]",caixa cxv0157 cha vaz. c/ chaleira
QUARUBA-GOIABA SERRADA EM VIGOTA,"['QUARUBA-GOIABA', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0]",quaruba-goiaba serrada em vigota
MADEIRA SERRADA EM RIPAS DA ESSÊNCIA - SUCUPIRA-PELE-DE-SAPO,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESSÊNCIA', '-', 'SUCUPIRA-PELE-DE-SAPO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em ripas da essencia - sucupira-pele-de-sapo
"LINHA ANGELIM 5X09 6,00MT","['LINHA', 'ANGELIM', '5X09', '6,00MT']","[0, 0, 0, 0]","linha angelim 5x09 6,00mt"
MADEIRA CUMARU-AMARELO SERRADA EM SARRAFO,"['MADEIRA', 'CUMARU-AMARELO', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0, 0]",madeira cumaru-amarelo serrada em sarrafo
TAUARI-COURATARI TAUARI O.BERG-SERRADA EM VIGOTA,"['TAUARI-COURATARI', 'TAUARI', 'O.BERG-SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0]",tauari-couratari tauari o.berg-serrada em vigota
"CAIBRO 3,50","['CAIBRO', '3,50']","[0, 0]","caibro 3,50"
MADEIRA SERRADA SUMAUMA  (TABUA),"['MADEIRA', 'SERRADA', 'SUMAUMA', '(TABUA)']","[0, 0, 0, 0]",madeira serrada sumauma  (tabua)
ORELHA DE MACACO SERRADA EM VIGOTA,"['ORELHA', 'DE', 'MACACO', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0, 0]",orelha de macaco serrada em vigota
"PORTA DE PINUS 2,10X0,60","['PORTA', 'DE', 'PINUS', '2,10X0,60']","[0, 0, 0, 0]","porta de pinus 2,10x0,60"
PORTA LAMINADA COMUM 2.10 X 84 CXD,"['PORTA', 'LAMINADA', 'COMUM', '2.10', 'X', '84', 'CXD']","[0, 0, 0, 0, 0, 0, 0]",porta laminada comum 2.10 x 84 cxd
MADEIRA BENEFICIADA EM DIVERSOS - DIVERSOS  PRODUTO ACABADO (PORTAIS),"['MADEIRA', 'BENEFICIADA', 'EM', 'DIVERSOS', '-', 'DIVERSOS', 'PRODUTO', 'ACABADO', '(PORTAIS)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada em diversos - diversos  produto acabado (portais)
"MADEIRA SERRADA NA ESPECIE MACARANDUBA -BLOCO,QUADRADO OU FILE","['MADEIRA', 'SERRADA', 'NA', 'ESPECIE', 'MACARANDUBA', '-BLOCO,QUADRADO', 'OU', 'FILE']","[0, 0, 0, 0, 0, 0, 0, 0]","madeira serrada na especie macaranduba -bloco,quadrado ou file"
FARINHA OSTRA,"['FARINHA', 'OSTRA']","[0, 0]",farinha ostra
TABUA DE MADEIRA MISTA 2 X 27CM,"['TABUA', 'DE', 'MADEIRA', 'MISTA', '2', 'X', '27CM']","[0, 0, 0, 0, 0, 0, 0]",tabua de madeira mista 2 x 27cm
HYMENAEA COURBARIL L. - JATOBA-MADEIRA SERRADA - PRANCHAO DESDOBRADO,"['HYMENAEA', 'COURBARIL', 'L.', '-', 'JATOBA-MADEIRA', 'SERRADA', '-', 'PRANCHAO', 'DESDOBRADO']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",hymenaea courbaril l. - jatoba-madeira serrada - pranchao desdobrado
MADEIRA SERRADA DA ESPECIE POPULAR TIMBORANA EM PRANCHAO,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'POPULAR', 'TIMBORANA', 'EM', 'PRANCHAO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie popular timborana em pranchao
MADEIRA BENEFICIADA TÁBUA DE MADEIRA MISTA,"['MADEIRA', 'BENEFICIADA', 'TÁBUA', 'DE', 'MADEIRA', 'MISTA']","[0, 0, 0, 0, 0, 0]",madeira beneficiada tabua de madeira mista
BARROTE MADEIRA SERRADA EM TABUA,"['BARROTE', 'MADEIRA', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0]",barrote madeira serrada em tabua
CAIBRO 3X5 4.00MT ANGELI,"['CAIBRO', '3X5', '4.00MT', 'ANGELI']","[0, 0, 0, 0]",caibro 3x5 4.00mt angeli
ANGELIM-AMARGOSO EM CAIBRINHO,"['ANGELIM-AMARGOSO', 'EM', 'CAIBRINHO']","[0, 0, 0]",angelim-amargoso em caibrinho
ANDIROBA MADEIRA SERRADA EM (PRANCHAO DESDOBRADO),"['ANDIROBA', 'MADEIRA', 'SERRADA', 'EM', '(PRANCHAO', 'DESDOBRADO)']","[0, 0, 0, 0, 0, 0]",andiroba madeira serrada em (pranchao desdobrado)
